"","year","fold.out","alpha","FP","TP","FN","TN","hull.area"
"411",2017,5,7898.65416966859,40,170,12,142,4177845112.45883
"412",2018,5,7898.65416966859,401,741,31,371,12385407592.2367
"413",2019,5,7898.65416966859,337,1383,53,1099,23332647979.2432
"414",2020,5,7898.65416966859,130,675,54,599,30636888418.0566
"415",2021,5,7898.65416966859,128,882,94,848,35371122691.1668
"416",2022,5,7898.65416966859,287,1259,132,1104,46794398795.4549
"417",2023,5,7898.65416966859,354,1765,175,1586,64450876386.922
"418",2024,5,7898.65416966859,509,1749,98,1338,73393870305.1612
"419",2025,5,7898.65416966859,276,1090,131,945,82545930495.2153
"420",2026,5,7898.65416966859,0,4,1,5,82419536594.5692
"421",2015,1,9027.0333367641,384,487,4,107,218880247.711709
"422",2016,1,9027.0333367641,225,437,7,219,1209186605.79026
"423",2017,1,9027.0333367641,42,164,18,140,4303059467.28859
"424",2018,1,9027.0333367641,445,755,17,327,13016099359.8268
"425",2019,1,9027.0333367641,360,1394,42,1076,24717676995.9041
"426",2020,1,9027.0333367641,127,680,49,602,31716882620.5229
